"","grad","ex-tuition","ex-other","ex-rent","in-scholarship","in-tuition","in-home","debt","work","work-school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4"
"527",FALSE,28000,2500,6000,0,TRUE,6000,FALSE,TRUE,TRUE,1,"north","public",3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528",TRUE,35000,12000,10000,0,TRUE,0,FALSE,TRUE,TRUE,1,"north","public",9000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529",FALSE,45000,6500,9000,0,FALSE,7000,TRUE,TRUE,TRUE,1,"north","private",3000,25,5000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",TRUE,13000,0,2500,0,TRUE,1500,FALSE,TRUE,TRUE,2,"north","public",7000,5,NA,NA,NA,NA,NA,NA,17500,60,NA,NA,NA,NA,NA,NA
"531",FALSE,25000,3150,6000,0,TRUE,6000,FALSE,FALSE,NA,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",FALSE,26403,4600,5400,0,TRUE,5400,FALSE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,100,74,140,112,NA,NA,NA,NA
"533",FALSE,22000,2000,7500,0,TRUE,8000,FALSE,FALSE,NA,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534",FALSE,26403,2300,5000,0,TRUE,5000,FALSE,TRUE,FALSE,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,20000,216,NA,NA,NA,NA,NA,NA
"535",TRUE,40000,5000,6000,6000,TRUE,0,FALSE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",TRUE,31000,6500,8000,6000,FALSE,0,TRUE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",TRUE,11000,0,15000,0,TRUE,0,FALSE,TRUE,TRUE,4,"central","public",5000,25,5000,15,3000,15,5000,25,NA,NA,NA,NA,NA,NA,NA,NA
"538",TRUE,30000,3500,8000,30000,FALSE,0,FALSE,TRUE,TRUE,2,"south","public",30000,NA,3000,NA,NA,NA,NA,NA,9000,36,NA,NA,NA,NA,NA,NA
"539",FALSE,30000,3000,6000,1000,TRUE,0,FALSE,TRUE,TRUE,1,"central","public",3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",TRUE,50000,4000,8000,9000,TRUE,8000,FALSE,TRUE,TRUE,2,"north","public",3000,5,3000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541",FALSE,25000,1800,8000,0,TRUE,8000,FALSE,FALSE,NA,NA,"south","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542",FALSE,26000,4750,6000,0,TRUE,14500,FALSE,TRUE,TRUE,1,"south","public",5000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",TRUE,20143,0,13000,0,FALSE,0,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,7200,30,9600,42,NA,NA,NA,NA
"544",TRUE,30864,0,10000,6000,TRUE,3000,FALSE,TRUE,TRUE,1,"north","public",9000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545",TRUE,4790,7000,16000,0,TRUE,0,TRUE,TRUE,FALSE,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,38594,180,NA,NA,NA,NA,NA,NA
"546",TRUE,26000,0,10000,0,TRUE,0,FALSE,TRUE,TRUE,3,"north","public",5000,25,5000,35,9000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547",TRUE,15000,3500,6500,3000,FALSE,0,TRUE,TRUE,TRUE,3,"north","public",7000,35,7000,15,9000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",FALSE,50150,2500,4000,0,TRUE,5000,FALSE,TRUE,TRUE,1,"central","private",1000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",TRUE,25000,3900,9000,5000,TRUE,0,FALSE,TRUE,TRUE,1,"south","public",7000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550",FALSE,28000,7500,7000,0,TRUE,0,FALSE,TRUE,TRUE,1,"north","public",1000,15,NA,NA,NA,NA,NA,NA,6400,16,NA,NA,NA,NA,NA,NA
"551",FALSE,40000,20000,10000,0,TRUE,10000,FALSE,TRUE,TRUE,1,"south","private",3000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552",FALSE,23568,6200,5000,0,FALSE,4000,TRUE,TRUE,TRUE,1,"central","public",3000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553",TRUE,20000,3500,8000,0,TRUE,8000,FALSE,TRUE,TRUE,1,"north","public",9000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554",FALSE,25000,0,9000,0,TRUE,6000,FALSE,TRUE,TRUE,1,"south","public",5000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
